"last_name, first_name",pitcher,ff_n_stuff_plus,si_n_stuff_plus,fc_n_stuff_plus,sl_n_stuff_plus,ch_n_stuff_plus,cu_n_stuff_plus,fs_n_stuff_plus,kn_n_stuff_plus,st_n_stuff_plus,sv_n_stuff_plus
"Rogers, Trevor",669432,,,,,,,,,,
"Junk, Janson",676083,,,,,,,,,,
"Alexander, Tyler",641302,,,,,,,,,,
"Ginn, J.T.",669372,,,,,,,,,,
"Schwellenbach, Spencer",680885,,,,,,,,,,
"Nola, Aaron",605400,,,,,,,,,,
"Newcomb, Sean",656794,,,,,,,,,,
"Miller, Bryce",682243,,,,,,,,,,
"Burrows, Mike",681347,,,,,,,,,,
"Soroka, Michael",647336,,,,,,,,,,
"Ortiz, Luis",682847,,,,,,,,,,
"Glasnow, Tyler",607192,,,,,,,,,,
"Montero, Keider",672456,,,,,,,,,,
"McGreevy, Michael",700241,,,,,,,,,,
"Gordon, Colton",676467,,,,,,,,,,
"Williams, Trevor",592866,,,,,,,,,,
"Hancock, Emerson",676106,,,,,,,,,,
"Scherzer, Max",453286,,,,,,,,,,
"Latz, Jacob",656641,,,,,,,,,,
"Mahle, Tyler",641816,,,,,,,,,,
"Bido, Osvaldo",674370,,,,,,,,,,
"Matthews, Zebby",805673,,,,,,,,,,
"Spence, Mitch",687765,,,,,,,,,,
"Leahy, Kyle",681517,,,,,,,,,,
"Canning, Griffin",656288,,,,,,,,,,
"Rutledge, Jackson",671131,,,,,,,,,,
"Evans, Logan",688138,,,,,,,,,,
"Bellozo, Valente",678368,,,,,,,,,,
"Bergert, Ryan",686701,,,,,,,,,,
"Bivens, Spencer",702352,,,,,,,,,,
"Herget, Jimmy",623474,,,,,,,,,,
"Barlow, Scott",605130,,,,,,,,,,
"Casparius, Ben",676508,,,,,,,,,,
"López, Pablo",641154,,,,,,,,,,
"Schlittler, Cam",693645,,,,,,,,,,
"Alexander, Jason",669920,,,,,,,,,,
"Gordon, Tanner",685299,,,,,,,,,,
"Little, Brendon",663893,,,,,,,,,,
"Estrada, Jeremiah",669093,,,,,,,,,,
"Megill, Tylor",656731,,,,,,,,,,
"Santillan, Tony",663574,,,,,,,,,,
"Schmidt, Clarke",657376,,,,,,,,,,
"Kinley, Tyler",641755,,,,,,,,,,
"Bazardo, Eduard",660825,,,,,,,,,,
"King, Michael",650633,,,,,,,,,,
"Eisert, Brandon",685126,,,,,,,,,,
"Uceta, Edwin",670955,,,,,,,,,,
"Ferrer, Jose A.",678606,,,,,,,,,,
"Hicks, Jordan",663855,,,,,,,,,,
"Birdsong, Hayden",806185,,,,,,,,,,
"Abreu, Bryan",650556,,,,,,,,,,
"Smith, Cade",671922,,,,,,,,,,
"Whitlock, Garrett",676477,,,,,,,,,,
"Uribe, Abner",682842,,,,,,,,,,
"Misiorowski, Jacob",694819,,,,,,,,,,
"Olson, Reese",681857,,,,,,,,,,
"Matz, Steven",571927,,,,,,,,,,
"Holton, Tyler",663947,,,,,,,,,,
"Rodríguez, Yariel",684320,,,,,,,,,,
"Henriquez, Ronny",678692,,,,,,,,,,
"Anderson, Grant",681982,,,,,,,,,,
"Milner, Hoby",571948,,,,,,,,,,
"Darvish, Yu",506433,,,,,,,,,,
"McCullers Jr., Lance",621121,,,,,,,,,,
"Dreyer, Jack",676263,,,,,,,,,,
"Sheehan, Emmet",686218,,,,,,,,,,
"Sands, Cole",663485,,,,,,,,,,
"Bachar, Lake",669199,,,,,,,,,,
"Francis, Bowden",670102,,,,,,,,,,
"Peralta, Wandy",593974,,,,,,,,,,
"Vest, Will",676684,,,,,,,,,,
"Leasure, Jordan",673929,,,,,,,,,,
"Eflin, Zach",621107,,,,,,,,,,
"Rocker, Kumar",677958,,,,,,,,,,
"Hoffman, Jeff",656546,,,,,,,,,,
"Harris, Hogan",663687,,,,,,,,,,
"Armstrong, Shawn",542888,,,,,,,,,,
"Suter, Brent",608718,,,,,,,,,,
"Williams, Devin",642207,,,,,,,,,,
"Phillips, Tyler",663969,,,,,,,,,,
"Keller, Brad",641745,,,,,,,,,,
"De Los Santos, Enyel",660853,,,,,,,,,,
"Doval, Camilo",666808,,,,,,,,,,
"Lee, Dylan",669276,,,,,,,,,,
"Baker, Bryan",641329,,,,,,,,,,
"Ashcraft, Braxton",677952,,,,,,,,,,
"Domínguez, Seranthony",622554,,,,,,,,,,
"Gómez, Yoendrys",672782,,,,,,,,,,
"Zerpa, Angel",672582,,,,,,,,,,
"Buttó, José",676130,,,,,,,,,,
"Manaea, Sean",640455,,,,,,,,,,
"Vargas, Carlos",672841,,,,,,,,,,
"Jax, Griffin",643377,,,,,,,,,,
"Sterner, Justin",686993,,,,,,,,,,
"Wrobleski, Justin",680736,,,,,,,,,,
"Montero, Rafael",606160,,,,,,,,,,
"Lynch IV, Daniel",663738,,,,,,,,,,
"Adam, Jason",592094,,,,,,,,,,
"Banks, Tanner",621383,,,,,,,,,,
"Detmers, Reid",672282,,,,,,,,,,
"Ragans, Cole",666142,,,,,,,,,,
"Suarez, Robert",663158,,,,,,,,,,
"Mejia, Juan",675848,,,,,,,,,,
"Duran, Jhoan",661395,,,,,,,,,,
"Kerkering, Orion",689147,,,,,,,,,,
"Weissert, Greg",669711,,,,,,,,,,
"Pagán, Emilio",641941,,,,,,,,,,
"Díaz, Edwin",621242,,,,,,,,,,
"Varland, Louis",686973,,,,,,,,,,
"Banda, Anthony",607455,,,,,,,,,,
"Stanek, Ryne",592773,,,,,,,,,,
"Matsui, Yuki",673513,,,,,,,,,,
"Alcala, Jorge",660896,,,,,,,,,,
"Akin, Keegan",669211,,,,,,,,,,
"Faucher, Calvin",676534,,,,,,,,,,
"Hurter, Brant",676428,,,,,,,,,,
"Okert, Steven",595345,,,,,,,,,,
"Weaver, Luke",596133,,,,,,,,,,
"Gaddis, Hunter",683769,,,,,,,,,,
"Schreiber, John",670167,,,,,,,,,,
"King, Bryan",687911,,,,,,,,,,
"Estévez, Carlos",608032,,,,,,,,,,
"Koenig, Jared",657649,,,,,,,,,,
"Ferguson, Caleb",657571,,,,,,,,,,
"Meyer, Max",676974,,,,,,,,,,
"Ashcraft, Graham",668933,,,,,,,,,,
"Kahnle, Tommy",592454,,,,,,,,,,
"Muñoz, Andrés",662253,,,,,,,,,,
"Blalock, Bradley",687134,,,,,,,,,,
"Ashby, Aaron",676879,,,,,,,,,,
"Junis, Jakob",596001,,,,,,,,,,
"Soto, Gregory",642397,,,,,,,,,,
"Zeferjahn, Ryan",666171,,,,,,,,,,
"Snell, Blake",605483,,,,,,,,,,
"Bednar, David",670280,,,,,,,,,,
"Vesia, Alex",681911,,,,,,,,,,
"Chivilli, Angel",683409,,,,,,,,,,
"Walker, Ryan",676254,,,,,,,,,,
"Yarbrough, Ryan",642232,,,,,,,,,,
"Burke, Brock",656271,,,,,,,,,,
"Brazobán, Huascar",623211,,,,,,,,,,
"Burnes, Corbin",669203,,,,,,,,,,
"Maton, Phil",664208,,,,,,,,,,
"Santana, Dennis",642701,,,,,,,,,,
"Allard, Kolby",663465,,,,,,,,,,
"Morejon, Adrian",670970,,,,,,,,,,
"Gomber, Austin",596295,,,,,,,,,,
"Seymour, Ian",693855,,,,,,,,,,
"Strahm, Matt",621381,,,,,,,,,,
"Romero, JoJo",668941,,,,,,,,,,
"Ferguson, Tyler",621053,,,,,,,,,,
"Fairbanks, Pete",664126,,,,,,,,,,
"Cano, Yennier",666974,,,,,,,,,,
"Garrett, Reed",657585,,,,,,,,,,
"Helsley, Ryan",664854,,,,,,,,,,
"Topa, Justin",623437,,,,,,,,,,
"Rogers, Tyler",643511,,,,,,,,,,
"Webb, Jacob",657097,,,,,,,,,,
"Wilson, Steven",621051,,,,,,,,,,
"Garcia, Robert",676395,,,,,,,,,,
"Miller, Mason",695243,,,,,,,,,,
"Gil, Luis",661563,,,,,,,,,,
"Johnson, Pierce",572955,,,,,,,,,,
"Henry, Cole",669371,,,,,,,,,,
"Woodruff, Brandon",605540,,,,,,,,,,
"Iglesias, Raisel",628452,,,,,,,,,,
"Svanson, Matt",694335,,,,,,,,,,
"Erceg, Lucas",668674,,,,,,,,,,
"Bird, Jake",656234,,,,,,,,,,
"Hanifee, Brenan",669724,,,,,,,,,,
"Young, Brandon",687064,,,,,,,,,,
"Boyle, Joe",671212,,,,,,,,,,
"Ureña, José",570632,,,,,,,,,,
"Bummer, Aaron",607481,,,,,,,,,,
"Dobbins, Hunter",690928,,,,,,,,,,
"Speier, Gabe",642100,,,,,,,,,,
"Vodnik, Victor",680767,,,,,,,,,,
"Chapman, Aroldis",547973,,,,,,,,,,
"Beeks, Jalen",656222,,,,,,,,,,
"Scott, Tanner",656945,,,,,,,,,,
"Gibson, Cade",806188,,,,,,,,,,
"Pérez, Martín",527048,,,,,,,,,,
"Hill, Tim",657612,,,,,,,,,,
"García, Luis",472610,,,,,,,,,,
"Rogers, Taylor",573124,,,,,,,,,,
"Festa, David",701581,,,,,,,,,,
"Jobe, Jackson",695549,,,,,,,,,,
"Cleavinger, Garrett",664076,,,,,,,,,,
"Jansen, Kenley",445276,,,,,,,,,,
"Clarke, Taylor",664199,,,,,,,,,,
"Ross, Joe",605452,,,,,,,,,,
"Waldrep, Hurston",694462,,,,,,,,,,
"Legumina, Casey",668984,,,,,,,,,,
"Montgomery, Mason",682254,,,,,,,,,,
"Fluharty, Mason",689254,,,,,,,,,,
"Wilson, Bryse",669060,,,,,,,,,,
"Hader, Josh",623352,,,,,,,,,,
"Finnegan, Kyle",640448,,,,,,,,,,
"Mears, Nick",683232,,,,,,,,,,
"Trivino, Lou",642152,,,,,,,,,,
"Palencia, Daniel",694037,,,,,,,,,,
"Brogdon, Connor",641401,,,,,,,,,,
"Thielbar, Caleb",573204,,,,,,,,,,
"Gilbert, Tyler",656457,,,,,,,,,,
"Bernardino, Brennan",657514,,,,,,,,,,
