"last_name, first_name",player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
"Keller, Mitch",656605,PIT,FF,4-Seam Fastball,6.8,2,26,33.8,9,0.111,0.111,0.1,5.9,0.0,0.0,0.225,0.329,0.239,55.6
"Mattson, Isaac",676755,PIT,FF,4-Seam Fastball,-2.5,-1,38,77.6,9,0.429,0.429,0.456,20.0,22.2,14.3,0.261,0.317,0.353,20.0
"Smith, Cade",671922,CLE,FF,4-Seam Fastball,2.1,1,30,73.2,8,0.25,0.375,0.269,42.1,37.5,30.0,0.29,0.346,0.277,40.0
"Pallette, Peyton",688883,CLE,FF,4-Seam Fastball,2.8,1,31,52.5,8,0.286,0.429,0.356,26.3,0.0,0.0,0.33,0.453,0.384,28.6
"Bradley, Taj",671737,MIN,FF,4-Seam Fastball,2.6,1,37,40.2,8,0.167,0.333,0.331,30.0,37.5,25.0,0.239,0.383,0.374,66.7
"Gausman, Kevin",592332,TOR,FF,4-Seam Fastball,6.2,3,41,49.4,8,0.0,0.0,0.0,25.0,37.5,23.1,0.284,0.376,0.286,60.0
"Mlodzinski, Carmen",669387,PIT,FF,4-Seam Fastball,0.0,0,33,38.8,8,0.25,0.25,0.338,28.6,62.5,41.7,0.154,0.164,0.14,100.0
"Holmes, Grant",656550,ATL,FF,4-Seam Fastball,-5.7,-1,21,27.6,8,0.286,0.714,0.45,12.5,0.0,0.0,0.216,0.422,0.322,28.6
"Schlittler, Cam",693645,NYY,FF,4-Seam Fastball,5.3,1,22,32.4,8,0.125,0.25,0.156,40.0,50.0,33.3,0.154,0.215,0.16,50.0
"Nelson, Ryne",669194,AZ,FF,4-Seam Fastball,-3.3,-2,52,62.7,8,0.333,1.333,0.675,25.9,0.0,0.0,0.454,1.266,0.713,66.7
"Boyd, Matthew",571510,CHC,FF,4-Seam Fastball,-3.4,-1,42,66.7,8,0.571,0.714,0.581,52.0,25.0,22.2,0.441,1.131,0.658,80.0
"Mahle, Tyler",641816,SF,FF,4-Seam Fastball,-3.3,-1,39,48.8,8,0.429,0.857,0.556,16.7,50.0,33.3,0.294,0.738,0.465,100.0
"Yamamoto, Yoshinobu",808967,LAD,FF,4-Seam Fastball,-6.2,-1,21,22.1,7,0.429,1.0,0.593,16.7,14.3,11.1,0.343,0.771,0.469,83.3
"Glasnow, Tyler",607192,LAD,FF,4-Seam Fastball,-0.5,0,30,33.3,7,0.5,0.667,0.436,7.1,14.3,20.0,0.366,0.418,0.298,16.7
"Brown, Ben",676962,CHC,FF,4-Seam Fastball,-4.6,-1,23,46.9,7,0.167,0.667,0.386,15.4,14.3,20.0,0.199,0.511,0.354,40.0
"Baz, Shane",669358,BAL,FF,4-Seam Fastball,-8.2,-2,29,37.2,7,0.667,1.167,0.764,21.4,0.0,0.0,0.283,0.483,0.382,33.3
"Abel, Mick",690953,MIN,FF,4-Seam Fastball,-2.7,-1,42,51.9,7,0.5,0.667,0.536,31.8,28.6,12.5,0.421,0.536,0.457,50.0
"Morillo, Juan",666661,AZ,FF,4-Seam Fastball,-7.9,-2,25,64.1,7,0.333,0.833,0.514,23.1,14.3,10.0,0.285,0.769,0.475,40.0
"Seabold, Connor",657756,DET,FF,4-Seam Fastball,4.8,1,27,54.0,7,0.143,0.143,0.129,5.0,28.6,11.8,0.265,0.307,0.248,20.0
"Ryan, Joe",657746,MIN,FF,4-Seam Fastball,3.7,1,39,45.9,7,0.0,0.0,0.1,20.0,14.3,6.3,0.182,0.405,0.312,60.0
"Soriano, José",667755,LAA,FF,4-Seam Fastball,-2.1,0,23,25.3,7,0.4,0.6,0.507,15.4,14.3,14.3,0.339,0.389,0.43,75.0
"Quintana, Jose",500779,COL,FF,4-Seam Fastball,0.0,0,29,37.2,7,0.25,0.25,0.329,27.3,14.3,11.1,0.239,0.308,0.337,25.0
"Blubaugh, AJ",805123,HOU,FF,4-Seam Fastball,-0.2,0,30,46.9,7,0.143,0.571,0.286,33.3,42.9,23.1,0.134,0.506,0.263,50.0
"Freeland, Kyle",607536,COL,FF,4-Seam Fastball,-0.5,0,22,27.2,7,0.333,0.5,0.407,8.3,14.3,14.3,0.319,0.693,0.459,40.0
"Detmers, Reid",672282,LAA,FF,4-Seam Fastball,-1.2,0,41,43.2,7,0.429,0.571,0.436,20.0,42.9,20.0,0.321,0.395,0.309,75.0
"Lowder, Rhett",695076,CIN,FF,4-Seam Fastball,0.0,0,25,29.1,7,0.2,0.2,0.329,23.1,0.0,0.0,0.185,0.229,0.326,20.0
"Eovaldi, Nathan",543135,TEX,FF,4-Seam Fastball,-2.0,0,11,13.8,6,0.5,0.5,0.45,16.7,33.3,66.7,0.235,0.26,0.218,25.0
"Helsley, Ryan",664854,BAL,FF,4-Seam Fastball,3.0,1,22,56.4,6,0.167,0.167,0.3,30.8,33.3,50.0,0.377,0.511,0.382,75.0
"Cease, Dylan",656302,TOR,FF,4-Seam Fastball,0.0,0,24,26.7,6,0.333,0.5,0.358,25.0,66.7,50.0,0.222,0.301,0.224,50.0
"May, Dustin",669160,STL,FF,4-Seam Fastball,4.0,1,16,26.2,6,0.2,0.2,0.267,12.5,0.0,0.0,0.338,0.585,0.444,80.0
"Baumler, Carter",691945,TEX,FF,4-Seam Fastball,-0.3,0,26,37.7,6,0.0,0.0,0.35,18.2,16.7,11.1,0.007,0.01,0.354,0.0
"Pomeranz, Drew",519141,LAA,FF,4-Seam Fastball,-3.6,-1,22,75.9,6,0.4,0.8,0.5,0.0,0.0,0.0,0.296,0.457,0.317,50.0
"Pagán, Emilio",641941,CIN,FF,4-Seam Fastball,2.8,1,20,58.8,6,0.167,0.333,0.208,23.1,16.7,16.7,0.286,0.429,0.307,60.0
"Kochanowicz, Jack",686799,LAA,FF,4-Seam Fastball,-10.5,-1,13,13.8,6,0.5,0.75,0.592,0.0,0.0,0.0,0.489,0.638,0.56,25.0
"Alcantara, Sandy",645261,MIA,FF,4-Seam Fastball,-1.6,0,15,20.5,6,0.6,0.6,0.567,0.0,0.0,,0.326,0.382,0.374,40.0
"Abreu, Bryan",650556,HOU,FF,4-Seam Fastball,-1.2,0,24,60.0,6,0.0,0.0,0.35,40.0,33.3,50.0,0.01,0.032,0.359,100.0
"Burrows, Mike",681347,HOU,FF,4-Seam Fastball,-8.7,-2,18,19.1,6,0.6,1.2,0.75,10.0,0.0,0.0,0.387,0.764,0.523,40.0
"Imai, Tatsuya",837227,HOU,FF,4-Seam Fastball,-1.0,0,37,50.0,6,0.25,0.25,0.383,33.3,33.3,18.2,0.283,0.324,0.411,0.0
"Falter, Bailey",663559,KC,FF,4-Seam Fastball,-4.4,-1,26,54.2,6,0.667,0.833,0.658,36.4,0.0,0.0,0.391,0.467,0.37,0.0
"Rodriguez, Eduardo",593958,AZ,FF,4-Seam Fastball,1.8,0,18,22.8,6,0.167,0.167,0.3,20.0,33.3,28.6,0.243,0.314,0.242,25.0
"Cavalli, Cade",676917,WSH,FF,4-Seam Fastball,-3.3,-1,29,38.7,6,0.5,0.75,0.592,14.3,16.7,11.1,0.206,0.635,0.465,33.3
"Patrick, Chad",694477,MIL,FF,4-Seam Fastball,-6.7,-1,18,24.3,6,0.5,1.167,0.692,20.0,0.0,0.0,0.324,0.705,0.434,50.0
"Severino, Luis",622663,ATH,FF,4-Seam Fastball,1.4,0,23,27.4,6,0.167,0.5,0.267,20.0,33.3,25.0,0.12,0.319,0.181,50.0
"Ramírez, Yohan",670990,PIT,FF,4-Seam Fastball,3.1,1,21,35.6,6,0.0,0.0,0.233,25.0,33.3,33.3,0.065,0.067,0.273,0.0
"Nola, Aaron",605400,PHI,FF,4-Seam Fastball,-6.3,-2,34,37.4,6,0.4,1.0,0.6,40.0,33.3,20.0,0.369,0.807,0.527,66.7
"Marinaccio, Ron",676760,SD,FF,4-Seam Fastball,-5.1,-1,22,51.2,5,0.4,1.0,0.58,50.0,40.0,28.6,0.346,0.902,0.521,100.0
"Brown, Hunter",686613,HOU,FF,4-Seam Fastball,1.4,0,28,27.5,5,0.0,0.0,0.14,30.0,60.0,27.3,0.043,0.079,0.181,0.0
"Gore, MacKenzie",669022,TEX,FF,4-Seam Fastball,1.5,1,35,38.9,5,0.0,0.0,0.28,33.3,20.0,20.0,0.047,0.058,0.307,0.0
"Crochet, Garrett",676979,BOS,FF,4-Seam Fastball,3.5,1,30,37.5,5,0.0,0.0,0.0,20.0,20.0,10.0,0.229,0.281,0.214,0.0
"Lorenzen, Michael",547179,COL,FF,4-Seam Fastball,5.2,1,20,21.5,5,0.0,0.0,0.0,9.1,40.0,18.2,0.121,0.142,0.117,33.3
"Alvarado, Elvis",665660,ATH,FF,4-Seam Fastball,-0.3,0,12,46.2,5,0.25,0.25,0.32,50.0,40.0,50.0,0.076,0.085,0.196,0.0
"Imanaga, Shota",684007,CHC,FF,4-Seam Fastball,-1.6,0,31,37.8,5,0.4,0.8,0.5,7.7,0.0,0.0,0.561,0.837,0.599,60.0
"Harris, Hogan",663687,ATH,FF,4-Seam Fastball,0.8,0,21,58.3,5,0.25,0.25,0.32,20.0,0.0,0.0,0.187,0.214,0.28,25.0
"King, Michael",650633,SD,FF,4-Seam Fastball,2.3,0,10,12.2,5,0.25,0.25,0.32,66.7,60.0,60.0,0.194,0.218,0.28,0.0
"Watson, Ryan",670245,BOS,FF,4-Seam Fastball,1.5,0,20,39.2,5,0.0,0.0,0.28,22.2,20.0,11.1,0.155,0.172,0.366,50.0
