"last_name, first_name",player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
"Poulin, PJ",676571,WSH,FF,4-Seam Fastball,-10.4,-1,7,18.4,3,1.0,1.0,0.767,0.0,0.0,0.0,0.76,0.922,0.713,100.0
"Urena, Walbert",700712,LAA,FF,4-Seam Fastball,-1.2,0,14,22.6,3,0.333,0.333,0.6,12.5,0.0,0.0,0.288,0.318,0.264,33.3
"Williams, Devin",642207,NYM,FF,4-Seam Fastball,-1.3,0,10,52.6,3,0.333,0.667,0.417,40.0,66.7,66.7,0.139,0.157,0.13,0.0
"Taylor, Grant",691799,CWS,FF,4-Seam Fastball,1.3,0,25,50.0,3,0.0,0.0,0.233,21.4,66.7,40.0,,,0.233,
"Nardi, Andrew",677053,MIA,FF,4-Seam Fastball,-0.7,0,5,45.5,3,0.333,0.333,0.3,33.3,66.7,66.7,0.191,0.214,0.18,100.0
"Roa, Christian",685005,HOU,FF,4-Seam Fastball,-18.6,-1,8,22.2,3,0.5,2.0,0.9,66.7,33.3,50.0,0.423,1.545,0.768,100.0
"Thielbar, Caleb",573204,CHC,FF,4-Seam Fastball,2.0,0,8,50.0,3,0.0,0.0,0.233,25.0,33.3,25.0,0.003,0.005,0.236,0.0
"Johnson, Pierce",572955,CIN,FF,4-Seam Fastball,-12.9,-1,7,24.1,3,0.667,1.0,0.717,0.0,0.0,0.0,0.573,1.191,0.742,100.0
"Wilcox, Cole",677961,SEA,FF,4-Seam Fastball,13.5,0,3,30.0,2,0.0,0.0,0.0,50.0,50.0,50.0,0.007,0.017,0.01,0.0
"Suter, Brent",608718,LAA,FF,4-Seam Fastball,0.2,0,9,37.5,2,0.0,0.0,0.35,0.0,0.0,0.0,0.061,0.066,0.378,0.0
"Ginkel, Kevin",656464,AZ,FF,4-Seam Fastball,-3.3,0,9,42.9,2,0.5,0.5,0.45,0.0,0.0,0.0,0.292,0.336,0.277,0.0
"Nunez, Anthony",689296,BAL,FF,4-Seam Fastball,5.2,0,9,40.9,2,0.0,0.0,0.0,33.3,0.0,0.0,0.044,0.057,0.048,0.0
"Gray, Sonny",543243,BOS,FF,4-Seam Fastball,10.8,1,11,13.8,2,0.0,0.0,,16.7,0.0,0.0,,,,0.0
"Moll, Sam",594580,CIN,FF,4-Seam Fastball,24.2,0,2,9.5,2,0.0,0.0,0.0,0.0,0.0,,0.181,0.214,0.165,0.0
"Phillips, Connor",683175,CIN,FF,4-Seam Fastball,-2.0,0,14,35.9,2,0.5,0.5,0.45,25.0,0.0,0.0,0.551,0.622,0.51,100.0
"Festa, Matt",670036,CLE,FF,4-Seam Fastball,5.4,0,9,64.3,2,0.0,0.0,0.0,66.7,50.0,100.0,0.169,0.209,0.165,0.0
"Vodnik, Victor",680767,COL,FF,4-Seam Fastball,-7.4,0,3,27.3,2,0.5,0.5,0.45,33.3,50.0,100.0,0.181,0.199,0.164,100.0
"Finnegan, Kyle",640448,DET,FF,4-Seam Fastball,1.3,0,13,65.0,2,0.0,0.0,0.35,16.7,0.0,0.0,0.011,0.011,0.355,0.0
"Okert, Steven",595345,HOU,FF,4-Seam Fastball,4.8,0,10,28.6,2,0.0,0.0,0.0,0.0,50.0,25.0,0.032,0.042,0.029,0.0
"Erceg, Lucas",668674,KC,FF,4-Seam Fastball,2.6,0,13,54.2,2,0.0,0.0,0.0,20.0,50.0,50.0,0.145,0.173,0.149,0.0
"Strahm, Matt",621381,KC,FF,4-Seam Fastball,11.0,1,5,29.4,2,0.0,0.0,0.0,40.0,50.0,50.0,0.001,0.001,0.0,0.0
"Schreiber, John",670167,KC,FF,4-Seam Fastball,-48.7,-2,5,21.7,2,0.5,2.0,1.0,0.0,0.0,0.0,0.497,1.875,0.969,50.0
"Lugo, Seth",607625,KC,FF,4-Seam Fastball,-0.4,0,14,18.2,2,0.5,0.5,0.45,25.0,0.0,0.0,0.918,2.277,1.347,50.0
"Irvin, Jake",663623,WSH,FF,4-Seam Fastball,2.3,1,23,24.7,2,0.0,0.0,0.0,40.0,100.0,15.4,,,0.0,
"Varland, Gus",681402,WSH,FF,4-Seam Fastball,10.6,0,4,44.4,2,0.0,0.0,0.0,33.3,50.0,100.0,0.003,0.006,0.004,100.0
"Pérez, Cionel",672335,WSH,FF,4-Seam Fastball,-14.3,-1,8,34.8,2,0.5,2.0,1.0,0.0,0.0,,0.822,3.229,1.657,100.0
"McLean, Nolan",690997,NYM,FF,4-Seam Fastball,-8.8,-1,17,20.2,2,1.0,4.0,1.35,12.5,0.0,0.0,0.583,2.303,0.942,100.0
"Manaea, Sean",640455,NYM,FF,4-Seam Fastball,-1.4,0,8,27.6,2,0.5,0.5,0.45,50.0,50.0,100.0,0.437,0.562,0.434,100.0
"Lovelady, Richard",663992,NYM,FF,4-Seam Fastball,-1.3,0,12,25.5,2,0.5,0.5,0.45,28.6,50.0,20.0,0.478,0.535,0.444,0.0
"Skenes, Paul",694973,PIT,FF,4-Seam Fastball,-0.9,0,13,35.1,2,0.0,0.0,0.35,50.0,50.0,20.0,,,0.35,
"Soto, Gregory",642397,PIT,FF,4-Seam Fastball,-0.4,0,8,22.9,2,0.0,0.0,0.35,33.3,50.0,33.3,,,0.35,
"Gilbert, Logan",669302,SEA,FF,4-Seam Fastball,3.0,1,29,33.7,2,0.0,0.0,0.0,36.4,50.0,16.7,0.001,0.001,0.0,0.0
"Winn, Keaton",676775,SF,FF,4-Seam Fastball,7.3,1,8,28.6,2,0.0,0.0,0.0,0.0,50.0,33.3,0.267,0.645,0.379,100.0
"Soriano, George",666277,STL,FF,4-Seam Fastball,19.2,1,3,25.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.169,0.181,0.157,50.0
"Englert, Mason",669438,TB,FF,4-Seam Fastball,-53.0,-3,6,25.0,2,1.0,4.0,2.0,0.0,0.0,0.0,0.881,3.499,1.792,100.0
"Sulser, Cole",642121,TB,FF,4-Seam Fastball,-6.4,-1,13,31.7,2,1.0,2.0,0.975,0.0,0.0,0.0,0.52,1.114,0.689,100.0
"Martin, Chris",455119,TEX,FF,4-Seam Fastball,10.6,1,5,33.3,2,0.0,0.0,0.0,50.0,50.0,33.3,0.214,0.453,0.278,100.0
"Beeks, Jalen",656222,TEX,FF,4-Seam Fastball,4.5,1,18,51.4,2,0.0,0.0,0.0,44.4,50.0,16.7,0.319,0.356,0.296,100.0
"Varland, Louis",686973,TOR,FF,4-Seam Fastball,-0.1,0,14,46.7,2,0.0,0.0,0.35,75.0,50.0,33.3,,,0.35,
"Little, Brendon",663893,TOR,FF,4-Seam Fastball,-20.7,-1,3,13.0,2,1.0,1.0,0.8,0.0,0.0,0.0,0.343,0.348,0.504,0.0
"Sands, Cole",663485,MIN,FF,4-Seam Fastball,0.3,0,7,43.8,2,0.0,0.0,0.35,0.0,0.0,0.0,0.11,0.124,0.399,100.0
"Ober, Bailey",641927,MIN,FF,4-Seam Fastball,-1.0,0,16,28.6,2,0.5,0.5,0.45,0.0,0.0,0.0,0.325,0.361,0.3,50.0
"Bowlan, Jonathan",680742,PHI,FF,4-Seam Fastball,12.8,1,4,50.0,2,0.0,0.0,0.0,33.3,0.0,,0.022,0.058,0.033,50.0
"Fairbanks, Pete",664126,MIA,FF,4-Seam Fastball,-0.5,0,9,42.9,2,0.5,0.5,0.45,0.0,0.0,0.0,0.217,0.272,0.206,0.0
"Cruz, Fernando",518585,NYY,FF,4-Seam Fastball,16.2,1,4,40.0,2,0.0,0.0,0.0,0.0,0.0,,0.084,0.104,0.081,0.0
"Bird, Jake",656234,NYY,FF,4-Seam Fastball,-2.8,0,8,32.0,2,0.5,0.5,0.45,25.0,50.0,50.0,0.117,0.124,0.106,0.0
"Gómez, Yoendrys",672782,TB,FF,4-Seam Fastball,4.6,0,5,17.9,1,0.0,0.0,0.0,0.0,100.0,33.3,,,0.0,
"Coulombe, Danny",543056,BOS,FF,4-Seam Fastball,8.6,0,2,14.3,1,0.0,0.0,0.0,0.0,0.0,,0.011,0.025,0.015,0.0
"Romero, JoJo",668941,STL,FF,4-Seam Fastball,14.2,0,2,7.7,1,0.0,0.0,0.0,50.0,0.0,0.0,0.149,0.182,0.149,0.0
"Kilian, Caleb",668873,SF,FF,4-Seam Fastball,5.2,0,6,60.0,1,0.0,0.0,0.0,0.0,0.0,,0.069,0.075,0.07,0.0
"Ashby, Aaron",676879,MIL,FF,4-Seam Fastball,7.3,0,2,4.5,1,0.0,0.0,0.0,100.0,100.0,50.0,,,0.0,
"Miller, Erik",669062,SF,FF,4-Seam Fastball,-4.4,0,5,16.7,1,,,0.7,0.0,0.0,0.0,,,0.7,
"Gage, Matt",657424,SF,FF,4-Seam Fastball,7.2,0,3,13.6,1,0.0,0.0,0.0,100.0,100.0,100.0,,,0.0,
"Woodford, Jake",663765,MIL,FF,4-Seam Fastball,9.6,0,3,7.9,1,0.0,0.0,0.0,50.0,0.0,0.0,0.371,1.364,0.717,100.0
"Banda, Anthony",607455,MIN,FF,4-Seam Fastball,-1.7,0,6,33.3,1,,,0.7,100.0,0.0,,,,0.7,
"Keller, Brad",641745,PHI,FF,4-Seam Fastball,2.1,0,5,31.3,1,0.0,0.0,0.0,25.0,100.0,33.3,,,0.0,
"Banks, Tanner",621383,PHI,FF,4-Seam Fastball,30.5,0,1,10.0,1,0.0,0.0,0.0,0.0,0.0,,0.203,0.463,0.274,0.0
"Slaten, Justin",686580,BOS,FF,4-Seam Fastball,5.7,0,5,17.9,1,0.0,0.0,0.0,0.0,100.0,50.0,,,0.0,
"Silseth, Chase",681217,LAA,FF,4-Seam Fastball,5.7,0,3,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.006,0.005,0.0
"Speier, Gabe",642100,SEA,FF,4-Seam Fastball,4.8,0,5,21.7,1,0.0,0.0,0.0,66.7,100.0,33.3,,,0.0,
"Rodriguez, Bradgley",699134,SD,FF,4-Seam Fastball,12.7,1,4,20.0,1,0.0,0.0,0.0,33.3,0.0,,0.147,0.155,0.132,0.0
"Bido, Osvaldo",674370,ATL,FF,4-Seam Fastball,6.5,0,4,25.0,1,0.0,0.0,0.0,100.0,100.0,100.0,,,0.0,
"Miller, Mason",695243,SD,FF,4-Seam Fastball,-2.5,0,9,50.0,1,,,0.7,0.0,0.0,0.0,,,0.7,
"Bummer, Aaron",607481,ATL,FF,4-Seam Fastball,3.5,0,4,33.3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.426,1.42,0.756,100.0
"Kinley, Tyler",641755,ATL,FF,4-Seam Fastball,10.0,0,2,15.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.003,0.0
"Barco, Hunter",682995,PIT,FF,4-Seam Fastball,-12.2,0,3,12.5,1,1.0,1.0,0.9,0.0,0.0,,0.903,1.169,0.892,100.0
"Lawrence, Justin",664875,PIT,FF,4-Seam Fastball,-52.4,-2,3,8.1,1,1.0,4.0,2.0,0.0,0.0,0.0,0.994,3.964,2.03,100.0
"Urquidy, José",664353,PIT,FF,4-Seam Fastball,-9.3,0,2,18.2,1,,,0.7,,0.0,0.0,,,0.7,
"Medina, Luis",665622,ATH,FF,4-Seam Fastball,-5.6,0,6,60.0,1,1.0,1.0,0.9,25.0,0.0,0.0,0.906,1.194,0.904,100.0
"Sterner, Justin",686993,ATH,FF,4-Seam Fastball,-4.0,0,7,46.7,1,1.0,1.0,0.9,33.3,0.0,0.0,0.623,0.703,0.579,100.0
"Murphy, Chris",669684,CWS,FF,4-Seam Fastball,3.9,0,5,15.6,1,0.0,0.0,0.0,50.0,100.0,50.0,,,0.0,
"Ginn, J.T.",669372,ATH,FF,4-Seam Fastball,5.8,0,3,6.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.288,0.323,0.273,0.0
"Kelly, Michael",547184,ATH,FF,4-Seam Fastball,7.5,0,4,26.7,1,0.0,0.0,0.0,50.0,100.0,100.0,,,0.0,
"Brazobán, Huascar",623211,NYM,FF,4-Seam Fastball,10.3,0,3,16.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.011,0.01,0.0
"Hudson, Bryan",663542,CWS,FF,4-Seam Fastball,-9.7,-1,7,21.2,1,1.0,1.0,0.9,0.0,0.0,0.0,0.409,0.46,0.372,0.0
"Granillo, Andre",701552,WSH,FF,4-Seam Fastball,-4.2,0,5,27.8,1,,,0.7,,0.0,,,,0.7,
"Treinen, Blake",595014,LAD,FF,4-Seam Fastball,40.6,0,1,6.7,1,0.0,0.0,0.0,0.0,0.0,,0.029,0.083,0.045,100.0
"Klein, Will",694361,LAD,FF,4-Seam Fastball,4.0,1,13,54.2,1,0.0,0.0,0.0,60.0,100.0,50.0,,,0.0,
"Scott, Tanner",656945,LAD,FF,4-Seam Fastball,5.5,0,5,35.7,1,0.0,0.0,0.0,50.0,100.0,50.0,,,0.0,
"Teng, Kai-Wei",678906,HOU,FF,4-Seam Fastball,2.7,0,10,25.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.509,0.56,0.472,100.0
"Vest, Will",676684,DET,FF,4-Seam Fastball,7.3,0,4,36.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.243,0.397,0.268,0.0
"Phillips, Tyler",663969,MIA,FF,4-Seam Fastball,29.7,0,1,4.5,1,0.0,0.0,0.0,0.0,0.0,,0.006,0.013,0.009,0.0
"De Jesus, Enmanuel",646241,DET,FF,4-Seam Fastball,7.0,0,3,23.1,1,0.0,0.0,0.0,0.0,100.0,100.0,,,0.0,
"Holton, Tyler",663947,DET,FF,4-Seam Fastball,-4.1,0,3,27.3,1,,,0.7,,0.0,,,,0.7,
"Mejia, Juan",675848,COL,FF,4-Seam Fastball,4.3,0,6,27.3,1,0.0,0.0,0.0,0.0,0.0,,0.486,0.782,0.535,100.0
"Garcia, Rico",670329,BAL,FF,4-Seam Fastball,5.9,0,6,75.0,1,0.0,0.0,0.0,33.3,100.0,33.3,,,0.0,
"Hill, Jaden",677955,COL,FF,4-Seam Fastball,6.0,0,4,17.4,1,0.0,0.0,0.0,33.3,0.0,0.0,0.037,0.065,0.046,0.0
"Herget, Jimmy",623474,COL,FF,4-Seam Fastball,2.4,0,3,10.7,1,0.0,0.0,0.0,,100.0,100.0,,,0.0,
"Herrin, Tim",682120,CLE,FF,4-Seam Fastball,-24.1,0,2,10.5,1,1.0,1.0,0.9,0.0,0.0,0.0,0.094,0.106,0.085,0.0
"Clarke, Taylor",664199,AZ,FF,4-Seam Fastball,-30.6,-1,2,12.5,1,1.0,2.0,1.25,0.0,0.0,0.0,0.426,0.641,0.449,100.0
"Alexander, Tyler",641302,TEX,FF,4-Seam Fastball,14.0,0,2,6.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.057,0.057,0.051,0.0
"Harvey, Hunter",640451,CHC,FF,4-Seam Fastball,10.5,0,3,30.0,1,0.0,0.0,0.0,0.0,0.0,,0.049,0.09,0.058,0.0
"Milner, Hoby",571948,CHC,FF,4-Seam Fastball,-36.0,0,1,3.6,1,,,0.7,,0.0,0.0,,,0.7,
"Junis, Jakob",596001,TEX,FF,4-Seam Fastball,12.3,0,4,17.4,1,0.0,0.0,0.0,50.0,100.0,100.0,,,0.0,
"Winn, Cole",668390,TEX,FF,4-Seam Fastball,-0.5,0,11,36.7,1,,,0.7,25.0,0.0,0.0,,,0.7,
"Jax, Griffin",643377,TB,FF,4-Seam Fastball,-42.0,-2,4,17.4,1,1.0,4.0,2.0,0.0,0.0,0.0,0.937,3.72,1.899,100.0
"Fisher, Braydon",680755,TOR,FF,4-Seam Fastball,5.0,0,3,11.5,1,0.0,0.0,0.0,100.0,100.0,50.0,,,0.0,
"Thompson, Ryan",657044,AZ,FF,4-Seam Fastball,13.0,0,2,11.1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.657,0.778,0.634,100.0
"Baker, Bryan",641329,TB,FF,4-Seam Fastball,5.4,0,8,34.8,1,0.0,0.0,0.0,50.0,0.0,,0.809,1.143,0.822,100.0
"Miles, Spencer",693686,TOR,FF,4-Seam Fastball,9.8,0,3,18.8,1,0.0,0.0,0.0,50.0,0.0,0.0,0.011,0.023,0.015,100.0
