"last_name, first_name",pitcher,ff_n_stuff_plus,si_n_stuff_plus,fc_n_stuff_plus,sl_n_stuff_plus,ch_n_stuff_plus,cu_n_stuff_plus,fs_n_stuff_plus,kn_n_stuff_plus,st_n_stuff_plus,sv_n_stuff_plus
"Brown, Hunter",686613,,,,,,,,,,
"Luzardo, Jesús",666200,,,,,,,,,,
"Hancock, Emerson",676106,,,,,,,,,,
"Mikolas, Miles",571945,,,,,,,,,,
"Early, Connelly",813349,,,,,,,,,,
"McGreevy, Michael",700241,,,,,,,,,,
"Detmers, Reid",672282,,,,,,,,,,
"Yamamoto, Yoshinobu",808967,,,,,,,,,,
"Misiorowski, Jacob",694819,,,,,,,,,,
"Burrows, Mike",681347,,,,,,,,,,
"Kochanowicz, Jack",686799,,,,,,,,,,
"Cecconi, Slade",677944,,,,,,,,,,
"Irvin, Jake",663623,,,,,,,,,,
"Lorenzen, Michael",547179,,,,,,,,,,
"Pérez, Eury",691587,,,,,,,,,,
"Kay, Anthony",641743,,,,,,,,,,
"Bradley, Taj",671737,,,,,,,,,,
"Cantillo, Joey",676282,,,,,,,,,,
"Soriano, José",667755,,,,,,,,,,
"Nola, Aaron",605400,,,,,,,,,,
"Burke, Sean",680732,,,,,,,,,,
"Vásquez, Randy",681190,,,,,,,,,,
"Ragans, Cole",666142,,,,,,,,,,
"Kirby, George",669923,,,,,,,,,,
"Gore, MacKenzie",669022,,,,,,,,,,
"Glasnow, Tyler",607192,,,,,,,,,,
"Cease, Dylan",656302,,,,,,,,,,
"Williams, Gavin",668909,,,,,,,,,,
"Flaherty, Jack",656427,,,,,,,,,,
"Ray, Robbie",592662,,,,,,,,,,
"Rogers, Trevor",669432,,,,,,,,,,
"Sale, Chris",519242,,,,,,,,,,
"Sánchez, Cristopher",650911,,,,,,,,,,
"Lauer, Eric",641778,,,,,,,,,,
"Gilbert, Logan",669302,,,,,,,,,,
"Kikuchi, Yusei",579328,,,,,,,,,,
"Sproat, Brandon",687075,,,,,,,,,,
"Webb, Logan",657277,,,,,,,,,,
"Lowder, Rhett",695076,,,,,,,,,,
"Fried, Max",608331,,,,,,,,,,
"Ryan, Joe",657746,,,,,,,,,,
"Mlodzinski, Carmen",669387,,,,,,,,,,
"Severino, Luis",622663,,,,,,,,,,
"McLean, Nolan",690997,,,,,,,,,,
"Springs, Jeffrey",605488,,,,,,,,,,
"Warren, Will",701542,,,,,,,,,,
"Valdez, Framber",664285,,,,,,,,,,
"Woo, Bryan",693433,,,,,,,,,,
"Gausman, Kevin",592332,,,,,,,,,,
"Bradish, Kyle",680694,,,,,,,,,,
"Abbott, Andrew",671096,,,,,,,,,,
"Sheehan, Emmet",686218,,,,,,,,,,
"Nelson, Ryne",669194,,,,,,,,,,
"Imanaga, Shota",684007,,,,,,,,,,
"King, Michael",650633,,,,,,,,,,
"Abel, Mick",690953,,,,,,,,,,
"Freeland, Kyle",607536,,,,,,,,,,
"Matz, Steven",571927,,,,,,,,,,
"Meyer, Max",676974,,,,,,,,,,
"Crochet, Garrett",676979,,,,,,,,,,
"Eovaldi, Nathan",543135,,,,,,,,,,
"Peralta, Freddy",642547,,,,,,,,,,
"Mahle, Tyler",641816,,,,,,,,,,
"Gray, Sonny",543243,,,,,,,,,,
"Wacha, Michael",608379,,,,,,,,,,
"Rodriguez, Eduardo",593958,,,,,,,,,,
"Quintana, Jose",500779,,,,,,,,,,
"Bibee, Tanner",676440,,,,,,,,,,
"Liberatore, Matthew",669461,,,,,,,,,,
"Baz, Shane",669358,,,,,,,,,,
"López, Reynaldo",625643,,,,,,,,,,
"Keller, Mitch",656605,,,,,,,,,,
"Lugo, Seth",607625,,,,,,,,,,
"Gallen, Zac",668678,,,,,,,,,,
"Peterson, David",656849,,,,,,,,,,
"Holmes, Grant",656550,,,,,,,,,,
"Boyle, Joe",671212,,,,,,,,,,
"Horton, Cade",690990,,,,,,,,,,
"Cavalli, Cade",676917,,,,,,,,,,
"Patrick, Chad",694477,,,,,,,,,,
"Singer, Brady",663903,,,,,,,,,,
"Skubal, Tarik",669373,,,,,,,,,,
"Javier, Cristian",664299,,,,,,,,,,
"Imai, Tatsuya",837227,,,,,,,,,,
"Muñoz, Roddery",682610,,,,,,,,,,
"Alcantara, Sandy",645261,,,,,,,,,,
"Rasmussen, Drew",656876,,,,,,,,,,
"Morales, Luis",806960,,,,,,,,,,
"Baumler, Carter",691945,,,,,,,,,,
"Pivetta, Nick",601713,,,,,,,,,,
"Schlittler, Cam",693645,,,,,,,,,,
"Latz, Jacob",656641,,,,,,,,,,
"Blubaugh, AJ",805123,,,,,,,,,,
"Boyd, Matthew",571510,,,,,,,,,,
"Holderman, Colin",670059,,,,,,,,,,
"Montgomery, Mason",682254,,,,,,,,,,
"Urena, Walbert",700712,,,,,,,,,,
"May, Dustin",669160,,,,,,,,,,
"Bachman, Sam",696147,,,,,,,,,,
"Criswell, Cooper",681867,,,,,,,,,,
"Pallette, Peyton",688883,,,,,,,,,,
"Ramírez, Yohan",670990,,,,,,,,,,
"Ober, Bailey",641927,,,,,,,,,,
"Fuentes, Didier",800311,,,,,,,,,,
"Smith, Shane",681343,,,,,,,,,,
"Stanek, Ryne",592773,,,,,,,,,,
"Legumina, Casey",668984,,,,,,,,,,
"King, Bryan",687911,,,,,,,,,,
"Santillan, Tony",663574,,,,,,,,,,
"Watson, Ryan",670245,,,,,,,,,,
"Taylor, Grant",691799,,,,,,,,,,
"Seabold, Connor",657756,,,,,,,,,,
"Mattson, Isaac",676755,,,,,,,,,,
"Brown, Ben",676962,,,,,,,,,,
"Santana, Dennis",642701,,,,,,,,,,
"Falter, Bailey",663559,,,,,,,,,,
"Lord, Brad",695418,,,,,,,,,,
"Lovelady, Richard",663992,,,,,,,,,,
"Pop, Zach",647315,,,,,,,,,,
"Ginn, J.T.",669372,,,,,,,,,,
"Hall, DL",669084,,,,,,,,,,
"Ashby, Aaron",676879,,,,,,,,,,
"Marinaccio, Ron",676760,,,,,,,,,,
"Senzatela, Antonio",622608,,,,,,,,,,
"Weissert, Greg",669711,,,,,,,,,,
"Roycroft, Chris",688297,,,,,,,,,,
"Wells, Tyler",669330,,,,,,,,,,
"Backhus, Kyle",679775,,,,,,,,,,
"Smith, Cade",671922,,,,,,,,,,
"Sulser, Cole",642121,,,,,,,,,,
"Bazardo, Eduard",660825,,,,,,,,,,
"Abreu, Bryan",650556,,,,,,,,,,
"Myers, Tobias",668964,,,,,,,,,,
"Morillo, Juan",666661,,,,,,,,,,
"Helsley, Ryan",664854,,,,,,,,,,
"Teng, Kai-Wei",678906,,,,,,,,,,
"García, Luis",472610,,,,,,,,,,
"Bednar, David",670280,,,,,,,,,,
"Phillips, Connor",683175,,,,,,,,,,
"Anderson, Grant",681982,,,,,,,,,,
"Weaver, Luke",596133,,,,,,,,,,
"Bruihl, Justin",677865,,,,,,,,,,
"Poulin, PJ",676571,,,,,,,,,,
"Woodford, Jake",663765,,,,,,,,,,
"Hicks, Jordan",663855,,,,,,,,,,
"Leasure, Jordan",673929,,,,,,,,,,
"Skenes, Paul",694973,,,,,,,,,,
"Paez, Jedixson",699151,,,,,,,,,,
"Lawrence, Justin",664875,,,,,,,,,,
"Muñoz, Andrés",662253,,,,,,,,,,
"Svanson, Matt",694335,,,,,,,,,,
"Anderson, Drew",623454,,,,,,,,,,
"Harris, Hogan",663687,,,,,,,,,,
"Sabrowski, Erik",681870,,,,,,,,,,
"Roa, Christian",685005,,,,,,,,,,
"Beeks, Jalen",656222,,,,,,,,,,
"Soto, Gregory",642397,,,,,,,,,,
"Okert, Steven",595345,,,,,,,,,,
"Pagán, Emilio",641941,,,,,,,,,,
"Duran, Jhoan",661395,,,,,,,,,,
"Ashcraft, Graham",668933,,,,,,,,,,
"Hoffmann, Andrew",694851,,,,,,,,,,
"Newcomb, Sean",656794,,,,,,,,,,
"Hudson, Bryan",663542,,,,,,,,,,
"Enns, Dietrich",608650,,,,,,,,,,
"Brogdon, Connor",641401,,,,,,,,,,
"Hoffman, Jeff",656546,,,,,,,,,,
"Mayza, Tim",641835,,,,,,,,,,
"Garcia, Robert",676395,,,,,,,,,,
"Loáisiga, Jonathan",642528,,,,,,,,,,
"Domínguez, Seranthony",622554,,,,,,,,,,
"Waldichuk, Ken",686610,,,,,,,,,,
"Peralta, Wandy",593974,,,,,,,,,,
"Maton, Phil",664208,,,,,,,,,,
"Murphy, Chris",669684,,,,,,,,,,
"Cleavinger, Garrett",664076,,,,,,,,,,
"Pushard, Matt",690155,,,,,,,,,,
"Webb, Jacob",657097,,,,,,,,,,
"Morgan, David",688158,,,,,,,,,,
"Agnos, Zach",688642,,,,,,,,,,
"Varland, Louis",686973,,,,,,,,,,
"Burke, Brock",656271,,,,,,,,,,
"Miller, Erik",669062,,,,,,,,,,
"Funderburk, Kody",681892,,,,,,,,,,
"Topa, Justin",623437,,,,,,,,,,
"Beeter, Clayton",690925,,,,,,,,,,
"Alexander, Tyler",641302,,,,,,,,,,
"Winn, Cole",668390,,,,,,,,,,
"Manaea, Sean",640455,,,,,,,,,,
"Armstrong, Shawn",542888,,,,,,,,,,
